pi,person,total_fte,weighted_fte,num_objectives,roles,over_allocated
PI 26.4,Alice Nguyen,0.45,0.45,1,PM,false
PI 26.4,Bob Martinez,0.45,0.45,1,Backend,false
PI 26.4,Carla Diaz,0.45,0.45,1,Geospatial,false
PI 26.4,Devon Lee,0.45,0.12,1,Frontend,false
PI 26.4,Elena Petrova,0.45,0.45,1,Designer,false
PI 26.4,Jordan Kim,0.45,0.45,1,Designer,false
PI 26.4,Liam Walsh,0.45,0.45,1,Data Curator,false
PI 26.4,Morgan Reyes,0.45,0.12,1,Jupyterhub,false
PI 26.4,Nadia Hassan,0.45,0.45,1,Backend,false
PI 26.4,Owen Clark,0.45,0.45,1,Geospatial,false
PI 26.4,Priya Patel,0.45,0.45,1,Data Curator,false
PI 26.4,Rae Thompson,0.45,0.45,1,Frontend,false
PI 26.4,Sam Okoro,0.45,0.45,1,ML,false
PI 26.4,Sofia Rossi,1.14,0.84,2,PM,true
PI 26.4,Taylor Brooks,0.45,0.45,1,Comms,false
PI 26.4,Yuki Tanaka,0.45,0.21,1,ML,false
PI 27.1,Alice Nguyen,1.3,0.91,2,PM;Backend,true
PI 27.1,Bob Martinez,1.3,1.3,2,Backend,true
PI 27.1,Carla Diaz,0.68,0.68,1,Geospatial,false
PI 27.1,Devon Lee,0.68,0.68,1,Frontend,false
PI 27.1,Elena Petrova,0.68,0.68,1,Designer,false
PI 27.1,Jordan Kim,0.68,0.68,1,Designer,false
PI 27.1,Liam Walsh,0.68,0.68,1,Data Curator,false
PI 27.1,Morgan Reyes,0.68,0.35,1,Jupyterhub,false
PI 27.1,Nadia Hassan,0.68,0.31,1,Backend,false
PI 27.1,Owen Clark,0.68,0.68,1,Geospatial,false
PI 27.1,Priya Patel,0.68,0.68,1,Data Curator,false
PI 27.1,Rae Thompson,0.68,0.68,1,Frontend,false
PI 27.1,Sam Okoro,0.68,0.25,1,ML,false
PI 27.1,Sofia Rossi,1.3,0.94,2,PM,true
PI 27.1,Taylor Brooks,0.68,0.68,1,Comms,false
PI 27.1,Yuki Tanaka,0.68,0.68,1,ML,false
PI 27.2,Alice Nguyen,1.44,1.44,2,PM;Backend,true
PI 27.2,Bob Martinez,1.44,1.44,2,Backend,true
PI 27.2,Carla Diaz,0.84,0.84,2,Geospatial,false
PI 27.2,Devon Lee,0.84,0.6,2,Frontend;Designer,false
PI 27.2,Elena Petrova,0.84,0.53,2,Designer,false
PI 27.2,Jordan Kim,0.84,0.72,2,Designer,false
PI 27.2,Liam Walsh,0.84,0.84,2,Data Curator,false
PI 27.2,Morgan Reyes,0.84,0.84,2,Jupyterhub,false
PI 27.2,Nadia Hassan,1.44,1.24,2,Backend,true
PI 27.2,Owen Clark,0.84,0.84,2,Geospatial,false
PI 27.2,Priya Patel,0.84,0.84,1,PM;Data Curator,false
PI 27.2,Rae Thompson,0.84,0.55,2,Frontend,false
PI 27.2,Sam Okoro,0.84,0.84,2,Data Curator;ML,false
PI 27.2,Sofia Rossi,1.44,1.44,2,PM,true
PI 27.2,Taylor Brooks,0.84,0.84,2,Comms,false
PI 27.2,Yuki Tanaka,1.44,1.2,2,ML,true
