pi,pi_window,issue_number,issue_title,issue_url,project,initiative,team,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 26.4,2026-07-12 to 2026-10-17,1,[Comms]-[Objective 1]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/1,Disasters,Disasters,Front-end,Bob Martinez,Backend,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,1,[Comms]-[Objective 1]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/1,Disasters,Disasters,Front-end,Liam Walsh,Data Curator,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,1,[Comms]-[Objective 1]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/1,Disasters,Disasters,Front-end,Sam Okoro,ML,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,2,[Designer]-[Objective 2]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/2,HLS,AIR4US,Back-end,Alice Nguyen,Backend,1.0,2026-07-12,2026-10-17,1.0,1.0
PI 26.4,2026-07-12 to 2026-10-17,2,[Designer]-[Objective 2]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/2,HLS,AIR4US,Back-end,Jordan Kim,Designer,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,2,[Designer]-[Objective 2]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/2,HLS,AIR4US,Back-end,Owen Clark,Geospatial,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,2,[Designer]-[Objective 2]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/2,HLS,AIR4US,Back-end,Rae Thompson,Frontend,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,2,[Designer]-[Objective 2]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/2,HLS,AIR4US,Back-end,Sam Okoro,ML,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,3,[Comms]-[Objective 3]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/3,MAAP,Water Insights,Geospatial,Bob Martinez,Backend,0.4,2026-08-12,2026-09-30,0.51,0.2
PI 26.4,2026-07-12 to 2026-10-17,3,[Comms]-[Objective 3]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/3,MAAP,Water Insights,Geospatial,Carla Diaz,Geospatial,0.8,2026-08-12,2026-09-30,0.51,0.41
PI 26.4,2026-07-12 to 2026-10-17,3,[Comms]-[Objective 3]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/3,MAAP,Water Insights,Geospatial,Morgan Reyes,Jupyterhub,0.8,2026-08-12,2026-09-30,0.51,0.41
PI 26.4,2026-07-12 to 2026-10-17,3,[Comms]-[Objective 3]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/3,MAAP,Water Insights,Geospatial,Nadia Hassan,Backend,1.0,2026-08-12,2026-09-30,0.51,0.51
PI 26.4,2026-07-12 to 2026-10-17,4,[ML]-[Objective 4]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/4,CSDA,Plugins,Data Services,Bob Martinez,Backend,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,4,[ML]-[Objective 4]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/4,CSDA,Plugins,Data Services,Nadia Hassan,Backend,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,4,[ML]-[Objective 4]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/4,CSDA,Plugins,Data Services,Priya Patel,Data Curator,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,4,[ML]-[Objective 4]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/4,CSDA,Plugins,Data Services,Yuki Tanaka,ML,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,5,[Backend]-[Objective 5]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/5,AQ Portal,CMS,Plugins,Bob Martinez,Backend,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,5,[Backend]-[Objective 5]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/5,AQ Portal,CMS,Plugins,Devon Lee,Frontend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,5,[Backend]-[Objective 5]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/5,AQ Portal,CMS,Plugins,Liam Walsh,Data Curator,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,5,[Backend]-[Objective 5]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/5,AQ Portal,CMS,Plugins,Taylor Brooks,Comms,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,6,[Jupyterhub]-[Objective 6]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/6,Disasters,EIE,ODD,Carla Diaz,Geospatial,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,6,[Jupyterhub]-[Objective 6]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/6,Disasters,EIE,ODD,Devon Lee,Designer,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,6,[Jupyterhub]-[Objective 6]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/6,Disasters,EIE,ODD,Nadia Hassan,Backend,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,7,[Jupyterhub]-[Objective 7]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/7,HLS,TiTiler-CMR,EIE,Carla Diaz,Geospatial,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,7,[Jupyterhub]-[Objective 7]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/7,HLS,TiTiler-CMR,EIE,Elena Petrova,Designer,1.0,2026-07-12,2026-10-17,1.0,1.0
PI 26.4,2026-07-12 to 2026-10-17,7,[Jupyterhub]-[Objective 7]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/7,HLS,TiTiler-CMR,EIE,Nadia Hassan,Backend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,7,[Jupyterhub]-[Objective 7]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/7,HLS,TiTiler-CMR,EIE,Sam Okoro,Data Curator,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,7,[Jupyterhub]-[Objective 7]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/7,HLS,TiTiler-CMR,EIE,Taylor Brooks,Comms,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,9,[PM]-[Objective 9]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/9,CSDA,Cloud-Optimized R+D,Back-end,Alice Nguyen,Backend,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,9,[PM]-[Objective 9]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/9,CSDA,Cloud-Optimized R+D,Back-end,Jordan Kim,Designer,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,9,[PM]-[Objective 9]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/9,CSDA,Cloud-Optimized R+D,Back-end,Owen Clark,Geospatial,1.0,2026-07-12,2026-10-17,1.0,1.0
PI 26.4,2026-07-12 to 2026-10-17,9,[PM]-[Objective 9]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/9,CSDA,Cloud-Optimized R+D,Back-end,Sofia Rossi,PM,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,10,[Frontend]-[Objective 10]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/10,AQ Portal,Disasters,Geospatial,Carla Diaz,Geospatial,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,11,[Designer]-[Objective 11]: Tile server migration,https://github.com/NASA-IMPACT/veda-github-actions/issues/11,Disasters,AIR4US,Data Services,Morgan Reyes,Jupyterhub,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,11,[Designer]-[Objective 11]: Tile server migration,https://github.com/NASA-IMPACT/veda-github-actions/issues/11,Disasters,AIR4US,Data Services,Priya Patel,Data Curator,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,12,[Jupyterhub]-[Objective 12]: Metadata schema v3,https://github.com/NASA-IMPACT/veda-github-actions/issues/12,HLS,Water Insights,Plugins,Devon Lee,Frontend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,12,[Jupyterhub]-[Objective 12]: Metadata schema v3,https://github.com/NASA-IMPACT/veda-github-actions/issues/12,HLS,Water Insights,Plugins,Liam Walsh,Data Curator,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,13,[Designer]-[Objective 13]: Alerting pipeline,https://github.com/NASA-IMPACT/veda-github-actions/issues/13,MAAP,Plugins,ODD,Alice Nguyen,Backend,0.3,2026-07-26,2026-08-23,0.3,0.09
PI 26.4,2026-07-12 to 2026-10-17,13,[Designer]-[Objective 13]: Alerting pipeline,https://github.com/NASA-IMPACT/veda-github-actions/issues/13,MAAP,Plugins,ODD,Liam Walsh,Data Curator,0.1,2026-07-26,2026-08-23,0.3,0.03
PI 26.4,2026-07-12 to 2026-10-17,13,[Designer]-[Objective 13]: Alerting pipeline,https://github.com/NASA-IMPACT/veda-github-actions/issues/13,MAAP,Plugins,ODD,Priya Patel,PM,0.1,2026-07-26,2026-08-23,0.3,0.03
PI 26.4,2026-07-12 to 2026-10-17,14,[Frontend]-[Objective 14]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/14,CSDA,CMS,EIE,Bob Martinez,Backend,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,14,[Frontend]-[Objective 14]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/14,CSDA,CMS,EIE,Nadia Hassan,Backend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,14,[Frontend]-[Objective 14]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/14,CSDA,CMS,EIE,Priya Patel,Data Curator,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 15]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/15,AQ Portal,EIE,Front-end,Devon Lee,Designer,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 15]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/15,AQ Portal,EIE,Front-end,Jordan Kim,Designer,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 15]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/15,AQ Portal,EIE,Front-end,Morgan Reyes,Jupyterhub,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 15]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/15,AQ Portal,EIE,Front-end,Nadia Hassan,Backend,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 15]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/15,AQ Portal,EIE,Front-end,Rae Thompson,Frontend,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,16,[Designer]-[Objective 16]: Public API documentation,https://github.com/NASA-IMPACT/veda-github-actions/issues/16,Disasters,TiTiler-CMR,Back-end,Nadia Hassan,Backend,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,17,[ML]-[Objective 17]: Onboarding revamp,https://github.com/NASA-IMPACT/veda-github-actions/issues/17,HLS,Science Support,Geospatial,Rae Thompson,Frontend,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,18,[Geospatial]-[Objective 18]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/18,MAAP,Cloud-Optimized R+D,Data Services,Bob Martinez,Backend,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,18,[Geospatial]-[Objective 18]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/18,MAAP,Cloud-Optimized R+D,Data Services,Elena Petrova,Designer,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,19,[Geospatial]-[Objective 19]: Imagery mosaicking,https://github.com/NASA-IMPACT/veda-github-actions/issues/19,CSDA,Disasters,Plugins,Taylor Brooks,Comms,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,20,[Frontend]-[Objective 20]: Latency profiling,https://github.com/NASA-IMPACT/veda-github-actions/issues/20,AQ Portal,AIR4US,ODD,Rae Thompson,Frontend,0.25,2026-08-15,2026-09-08,0.26,0.06
PI 26.4,2026-07-12 to 2026-10-17,22,[Designer]-[Objective 22]: Hurricane track ingestion,https://github.com/NASA-IMPACT/veda-github-actions/issues/22,HLS,Plugins,Front-end,Alice Nguyen,Backend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,22,[Designer]-[Objective 22]: Hurricane track ingestion,https://github.com/NASA-IMPACT/veda-github-actions/issues/22,HLS,Plugins,Front-end,Bob Martinez,Backend,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,22,[Designer]-[Objective 22]: Hurricane track ingestion,https://github.com/NASA-IMPACT/veda-github-actions/issues/22,HLS,Plugins,Front-end,Devon Lee,Frontend,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,22,[Designer]-[Objective 22]: Hurricane track ingestion,https://github.com/NASA-IMPACT/veda-github-actions/issues/22,HLS,Plugins,Front-end,Sofia Rossi,PM,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,23,[Designer]-[Objective 23]: Access log analytics,https://github.com/NASA-IMPACT/veda-github-actions/issues/23,MAAP,CMS,Back-end,Sofia Rossi,PM,0.5,2026-07-30,2026-09-05,0.39,0.19
PI 26.4,2026-07-12 to 2026-10-17,24,[PM]-[Objective 24]: Model retraining harness,https://github.com/NASA-IMPACT/veda-github-actions/issues/24,CSDA,EIE,Geospatial,Alice Nguyen,PM,0.3,2026-08-11,2026-10-06,0.58,0.17
PI 26.4,2026-07-12 to 2026-10-17,24,[PM]-[Objective 24]: Model retraining harness,https://github.com/NASA-IMPACT/veda-github-actions/issues/24,CSDA,EIE,Geospatial,Bob Martinez,Backend,1.0,2026-08-11,2026-10-06,0.58,0.58
PI 26.4,2026-07-12 to 2026-10-17,24,[PM]-[Objective 24]: Model retraining harness,https://github.com/NASA-IMPACT/veda-github-actions/issues/24,CSDA,EIE,Geospatial,Owen Clark,Geospatial,0.2,2026-08-11,2026-10-06,0.58,0.12
PI 26.4,2026-07-12 to 2026-10-17,24,[PM]-[Objective 24]: Model retraining harness,https://github.com/NASA-IMPACT/veda-github-actions/issues/24,CSDA,EIE,Geospatial,Priya Patel,Data Curator,1.0,2026-08-11,2026-10-06,0.58,0.58
