pi,pi_window,issue_number,issue_title,issue_url,project,initiative,team,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 26.4,2026-07-12 to 2026-10-17,149,[PM]-[Objective 1]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/149,Disasters,Disasters,Front-end,Devon Lee,Frontend,0.45,2026-08-19,2026-09-13,0.27,0.12
PI 26.4,2026-07-12 to 2026-10-17,149,[PM]-[Objective 1]: COG pipeline hardening,https://github.com/NASA-IMPACT/veda-github-actions/issues/149,Disasters,Disasters,Front-end,Morgan Reyes,Jupyterhub,0.45,2026-08-19,2026-09-13,0.27,0.12
PI 26.4,2026-07-12 to 2026-10-17,150,[Frontend]-[Objective 2]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/150,HLS,AIR4US,Back-end,Liam Walsh,Data Curator,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,150,[Frontend]-[Objective 2]: S3 ingestion API v2,https://github.com/NASA-IMPACT/veda-github-actions/issues/150,HLS,AIR4US,Back-end,Nadia Hassan,Backend,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,151,[Backend]-[Objective 3]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/151,MAAP,Water Insights,Geospatial,Carla Diaz,Geospatial,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,151,[Backend]-[Objective 3]: Disaster dashboard redesign,https://github.com/NASA-IMPACT/veda-github-actions/issues/151,MAAP,Water Insights,Geospatial,Sam Okoro,ML,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,152,[Geospatial]-[Objective 4]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/152,CSDA,Plugins,Data Services,Alice Nguyen,PM,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,152,[Geospatial]-[Objective 4]: Flood extent model,https://github.com/NASA-IMPACT/veda-github-actions/issues/152,CSDA,Plugins,Data Services,Owen Clark,Geospatial,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,153,[Data Curator]-[Objective 5]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/153,AQ Portal,CMS,Plugins,Bob Martinez,Backend,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,153,[Data Curator]-[Objective 5]: CSDA catalog automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/153,AQ Portal,CMS,Plugins,Taylor Brooks,Comms,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,154,[Comms]-[Objective 6]: Stakeholder reporting portal,https://github.com/NASA-IMPACT/veda-github-actions/issues/154,Disasters,EIE,ODD,Elena Petrova,Designer,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,155,[ML]-[Objective 7]: Notebook environment upgrade,https://github.com/NASA-IMPACT/veda-github-actions/issues/155,HLS,TiTiler-CMR,EIE,Jordan Kim,Designer,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,156,[Designer]-[Objective 8]: Reprojection service scaling,https://github.com/NASA-IMPACT/veda-github-actions/issues/156,MAAP,Science Support,Front-end,Priya Patel,Data Curator,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,157,[Jupyterhub]-[Objective 9]: Auth & access control,https://github.com/NASA-IMPACT/veda-github-actions/issues/157,CSDA,Cloud-Optimized R+D,Back-end,Rae Thompson,Frontend,0.45,2026-07-12,2026-10-17,1.0,0.45
PI 26.4,2026-07-12 to 2026-10-17,158,[PM]-[Objective 10]: Data QA automation,https://github.com/NASA-IMPACT/veda-github-actions/issues/158,AQ Portal,Disasters,Geospatial,Sofia Rossi,PM,0.57,2026-08-08,2026-09-22,0.47,0.27
PI 26.4,2026-07-12 to 2026-10-17,159,[Frontend]-[Objective 11]: Tile server migration,https://github.com/NASA-IMPACT/veda-github-actions/issues/159,Disasters,AIR4US,Data Services,Sofia Rossi,PM,0.57,2026-07-12,2026-10-17,1.0,0.57
PI 26.4,2026-07-12 to 2026-10-17,160,[Backend]-[Objective 12]: Metadata schema v3,https://github.com/NASA-IMPACT/veda-github-actions/issues/160,HLS,Water Insights,Plugins,Yuki Tanaka,ML,0.45,2026-08-29,2026-10-13,0.47,0.21
PI 27.1,2026-10-18 to 2027-01-16,161,[Geospatial]-[Objective 13]: Alerting pipeline,https://github.com/NASA-IMPACT/veda-github-actions/issues/161,MAAP,Plugins,ODD,Elena Petrova,Designer,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,161,[Geospatial]-[Objective 13]: Alerting pipeline,https://github.com/NASA-IMPACT/veda-github-actions/issues/161,MAAP,Plugins,ODD,Liam Walsh,Data Curator,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,162,[Data Curator]-[Objective 14]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/162,CSDA,CMS,EIE,Owen Clark,Geospatial,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,162,[Data Curator]-[Objective 14]: Cloud cost monitoring,https://github.com/NASA-IMPACT/veda-github-actions/issues/162,CSDA,CMS,EIE,Sofia Rossi,PM,0.65,2026-10-18,2027-01-16,1.0,0.65
PI 27.1,2026-10-18 to 2027-01-16,163,[Comms]-[Objective 15]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/163,AQ Portal,EIE,Front-end,Nadia Hassan,Backend,0.68,2026-11-01,2026-12-11,0.45,0.31
PI 27.1,2026-10-18 to 2027-01-16,163,[Comms]-[Objective 15]: Wildfire severity model,https://github.com/NASA-IMPACT/veda-github-actions/issues/163,AQ Portal,EIE,Front-end,Sofia Rossi,PM,0.65,2026-11-01,2026-12-11,0.45,0.29
PI 27.1,2026-10-18 to 2027-01-16,164,[ML]-[Objective 16]: Public API documentation,https://github.com/NASA-IMPACT/veda-github-actions/issues/164,Disasters,TiTiler-CMR,Back-end,Taylor Brooks,Comms,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,165,[Designer]-[Objective 17]: Onboarding revamp,https://github.com/NASA-IMPACT/veda-github-actions/issues/165,HLS,Science Support,Geospatial,Rae Thompson,Frontend,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,166,[Jupyterhub]-[Objective 18]: STAC catalog buildout,https://github.com/NASA-IMPACT/veda-github-actions/issues/166,MAAP,Cloud-Optimized R+D,Data Services,Priya Patel,Data Curator,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,167,[PM]-[Objective 19]: Imagery mosaicking,https://github.com/NASA-IMPACT/veda-github-actions/issues/167,CSDA,Disasters,Plugins,Jordan Kim,Designer,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,168,[Frontend]-[Objective 20]: Latency profiling,https://github.com/NASA-IMPACT/veda-github-actions/issues/168,AQ Portal,AIR4US,ODD,Alice Nguyen,Backend,0.65,2026-10-18,2027-01-16,1.0,0.65
PI 27.1,2026-10-18 to 2027-01-16,169,[Backend]-[Objective 21]: Nodata standardization,https://github.com/NASA-IMPACT/veda-github-actions/issues/169,Disasters,Water Insights,EIE,Carla Diaz,Geospatial,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,170,[Geospatial]-[Objective 22]: Hurricane track ingestion,https://github.com/NASA-IMPACT/veda-github-actions/issues/170,HLS,Plugins,Front-end,Alice Nguyen,PM,0.65,2026-11-09,2026-12-14,0.4,0.26
PI 27.1,2026-10-18 to 2027-01-16,171,[Data Curator]-[Objective 23]: Access log analytics,https://github.com/NASA-IMPACT/veda-github-actions/issues/171,MAAP,CMS,Back-end,Bob Martinez,Backend,0.65,2026-10-18,2027-01-16,1.0,0.65
PI 27.1,2026-10-18 to 2027-01-16,172,[Comms]-[Objective 24]: Model retraining harness,https://github.com/NASA-IMPACT/veda-github-actions/issues/172,CSDA,EIE,Geospatial,Devon Lee,Frontend,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,173,[ML]-[Objective 25]: Colormap library,https://github.com/NASA-IMPACT/veda-github-actions/issues/173,AQ Portal,TiTiler-CMR,Data Services,Yuki Tanaka,ML,0.68,2026-10-18,2027-01-16,1.0,0.68
PI 27.1,2026-10-18 to 2027-01-16,174,[Designer]-[Objective 26]: Region-of-interest tooling,https://github.com/NASA-IMPACT/veda-github-actions/issues/174,Disasters,Science Support,Plugins,Sam Okoro,ML,0.68,2026-11-27,2026-12-29,0.36,0.25
PI 27.1,2026-10-18 to 2027-01-16,175,[Jupyterhub]-[Objective 27]: Backfill orchestration,https://github.com/NASA-IMPACT/veda-github-actions/issues/175,HLS,Cloud-Optimized R+D,ODD,Bob Martinez,Backend,0.65,2026-10-18,2027-01-16,1.0,0.65
